transaction_id,user_id,amount,timestamp,beneficiary_id,beneficiary_new,device_id,device_new,location,transaction_frequency,fraud_label
TXN1067,user_hni_01,3000.0,2026-08-01 18:17:35,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.6,0
TXN1104,user_lim_01,1163.72,2026-08-01 21:02:19,BENEF_ELECTRICITY_BOARD,0,DEV_ROHAN_ANDROID,0,Hyderabad,1.0,0
TXN1080,user_hni_01,19464.31,2026-08-01 21:11:50,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Gurugram,5.7,0
TXN1011,user_std_01,1275.33,2026-08-01 22:58:16,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.3,0
TXN1083,user_hni_01,23951.98,2026-08-02 00:08:10,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Delhi,4.0,0
TXN1030,user_std_01,805.78,2026-08-02 17:07:21,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.3,0
TXN1084,user_hni_01,7331.38,2026-08-02 19:01:01,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Gurugram,3.6,0
TXN1068,user_hni_01,9456.16,2026-08-02 23:36:02,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Delhi,4.2,0
TXN1039,user_std_02,243.61,2026-08-04 06:58:36,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.5,0
TXN1053,user_std_02,108.65,2026-08-04 07:09:26,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,2.4,0
TXN1022,user_std_01,233.16,2026-08-04 18:06:19,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.1,0
TXN1001,user_std_01,603.03,2026-08-04 19:31:33,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.4,0
TXN1009,user_std_01,200.0,2026-08-04 20:35:57,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.1,0
TXN1015,user_std_01,250.94,2026-08-05 01:04:59,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.9,0
TXN1089,user_hni_01,21902.47,2026-08-05 03:10:06,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,2.6,0
TXN1092,user_hni_01,23907.03,2026-08-05 04:54:39,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Delhi,4.5,0
TXN1046,user_std_02,243.27,2026-08-05 07:47:16,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.8,0
TXN1064,user_hni_01,12383.68,2026-08-05 19:04:36,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Gurugram,4.2,0
TXN1096,user_hni_01,18982.88,2026-08-05 19:52:55,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Delhi,4.1,0
TXN1002,user_std_01,351.27,2026-08-05 20:14:38,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.9,0
TXN1099,user_hni_01,7448.49,2026-08-05 20:23:15,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Delhi,4.4,0
TXN1105,user_lim_01,729.08,2026-08-05 21:51:15,BENEF_KIRANA_STORE,0,DEV_ROHAN_ANDROID,0,Hyderabad,1.0,0
TXN1003,user_std_01,435.95,2026-08-06 01:09:22,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai Suburban,3.0,0
TXN1042,user_std_02,146.42,2026-08-06 03:06:40,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,4.2,0
TXN1023,user_std_01,764.03,2026-08-06 04:06:08,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai,1.8,0
TXN1075,user_hni_01,19715.12,2026-08-06 04:27:10,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Gurugram,4.3,0
TXN1054,user_std_02,276.25,2026-08-06 07:54:25,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,2.9,0
TXN1085,user_hni_01,19997.74,2026-08-07 02:17:31,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.4,0
TXN1079,user_hni_01,5601.21,2026-08-07 02:32:26,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.9,0
TXN1028,user_std_01,200.0,2026-08-07 18:47:16,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai,1.7,0
TXN1091,user_hni_01,11544.29,2026-08-07 21:24:23,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Gurugram,4.8,0
TXN1063,user_std_02,234.97,2026-08-07 23:05:47,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.7,0
TXN1072,user_hni_01,13650.2,2026-08-08 01:25:44,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Delhi,3.3,0
